GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
challenge_possumus_tech,com.leonardogil.challenge_possumus_tech.domain.validation,RomanSymbolValidator,3,43,0,2,1,10,1,6,1,5
challenge_possumus_tech,com.leonardogil.challenge_possumus_tech.domain.validation,OrderValidator,3,64,0,12,1,17,1,7,1,1
challenge_possumus_tech,com.leonardogil.challenge_possumus_tech.domain.validation,SubtractionValidator,3,156,1,21,1,29,2,13,1,3
challenge_possumus_tech,com.leonardogil.challenge_possumus_tech.domain.validation,RepetitionValidator,3,83,0,12,1,18,1,8,1,2
challenge_possumus_tech,com.leonardogil.challenge_possumus_tech.common.exceptions,ErrorMessage,0,12,0,0,0,5,0,1,0,1
challenge_possumus_tech,com.leonardogil.challenge_possumus_tech.common.exceptions,ApiExceptionHandler,0,25,0,0,0,9,0,3,0,3
challenge_possumus_tech,com.leonardogil.challenge_possumus_tech.common.config,OpenAPIConfig,3,0,0,0,1,0,1,0,1,0
challenge_possumus_tech,com.leonardogil.challenge_possumus_tech.infrastructure.controller,RomanNumeralController,0,12,0,0,0,2,0,2,0,2
challenge_possumus_tech,com.leonardogil.challenge_possumus_tech.domain.model,RomanGreedyValue,0,118,0,0,0,18,0,2,0,2
challenge_possumus_tech,com.leonardogil.challenge_possumus_tech.domain.model,RomanEnum,11,63,0,0,3,12,1,3,1,3
challenge_possumus_tech,com.leonardogil.challenge_possumus_tech.application.service,RomanNumeralServiceImpl,0,114,0,16,0,21,0,11,0,3
challenge_possumus_tech,com.leonardogil.challenge_possumus_tech,ChallengePossumusTechApplication,5,3,0,0,2,1,1,1,1,1
challenge_possumus_tech,com.leonardogil.challenge_possumus_tech.domain.exceptions,RomanSubtractionException,0,4,0,0,0,2,0,1,0,1
challenge_possumus_tech,com.leonardogil.challenge_possumus_tech.domain.exceptions,RomanValidationException,0,4,0,0,0,2,0,1,0,1
challenge_possumus_tech,com.leonardogil.challenge_possumus_tech.domain.exceptions,RomanNumberRepetitionException,0,4,0,0,0,2,0,1,0,1
challenge_possumus_tech,com.leonardogil.challenge_possumus_tech.domain.exceptions,InvalidRomanNumberException,0,5,0,0,0,2,0,1,0,1
challenge_possumus_tech,com.leonardogil.challenge_possumus_tech.domain.exceptions,RomanOrderException,0,4,0,0,0,2,0,1,0,1
challenge_possumus_tech,com.leonardogil.challenge_possumus_tech.domain.exceptions,IntegerOutOfRangeException,0,4,0,0,0,2,0,1,0,1
challenge_possumus_tech,com.leonardogil.challenge_possumus_tech.application.validation.validator,ValidRomanNumeralValidator,2,21,2,2,0,8,2,2,0,2
